,Player,Playtype,# Seasons,Season,Avg. GP,Avg. # Poss,Avg. Freq,Avg. PPP,Avg. Pts,Avg. EFG%,Avg. FT Freq,Avg. TOV Freq,Avg. SF Freq,Avg. Score Freq,Avg. Percentile
2235,Aron Baynes,postup,3,Playoffs,11.0,0.43,11.8,0.83,0.13,42.0,0.0,0.0,0.0,41.67,0.0
2236,Damian Lillard,postup,3,Playoffs,5.0,0.43,1.5,1.33,0.33,33.0,33.3,8.3,33.3,66.67,0.0
2237,JaVale McGee,postup,6,Playoffs,10.0,0.4,9.22,1.07,0.4,56.0,7.9,35.2,6.0,54.67,0.0
2238,JaMychal Green,postup,6,Playoffs,7.0,0.4,6.5,0.84,0.28,42.0,3.3,25.7,0.0,43.83,0.0
2239,Stephen Curry,postup,3,Playoffs,15.0,0.1,0.27,1.67,0.07,33.0,66.7,0.0,33.3,100.0,0.0
2240,Jamal Murray,postup,2,Playoffs,16.0,0.1,0.35,1.0,0.05,0.0,50.0,0.0,0.0,50.0,0.0
2241,Pat Connaughton,postup,1,Playoffs,15.0,0.1,1.1,2.0,0.1,100.0,0.0,0.0,0.0,100.0,0.0
2242,Kyle Lowry,postup,4,Playoffs,16.0,0.15,0.88,1.56,0.15,75.0,6.2,0.0,6.2,81.25,0.0
2243,Cory Joseph,postup,2,Playoffs,15.0,0.15,1.4,1.5,0.0,100.0,0.0,25.0,0.0,75.0,0.0
2244,Meyers Leonard,postup,1,Playoffs,11.0,0.1,1.4,2.0,0.2,100.0,0.0,0.0,0.0,100.0,0.0
2245,Mike Muscala,postup,3,Playoffs,6.0,0.27,19.5,1.33,0.0,67.0,0.0,0.0,0.0,66.67,0.0
2246,Paul George,postup,6,Playoffs,9.0,1.07,3.87,1.19,1.22,60.0,11.7,11.4,9.8,56.88,8.0
2247,Clint Capela,postup,5,Playoffs,12.0,0.34,4.3,1.25,0.52,60.0,28.0,10.7,28.0,54.66,0.0
2248,Jaylen Adams,offscreen,1,Playoffs,3.0,0.7,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2249,P.J. Dozier,offscreen,1,Playoffs,12.0,0.2,4.3,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2250,Aaron Holiday,offscreen,1,Playoffs,4.0,0.3,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2251,Michael Frazier II,offscreen,1,Playoffs,4.0,0.3,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2252,DeMarcus Cousins,offscreen,1,Playoffs,8.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2253,Mo Williams,offscreen,1,Playoffs,13.0,0.1,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2254,Mike Muscala,offscreen,1,Playoffs,9.0,0.1,4.2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2255,Al Jefferson,offscreen,1,Playoffs,7.0,0.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2256,Terence Davis,offscreen,1,Playoffs,6.0,0.3,5.3,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
2257,Kyle Singler,offscreen,1,Playoffs,6.0,0.2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2258,Jared Dudley,offscreen,2,Playoffs,4.0,0.1,11.3,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
2259,Lance Thomas,offscreen,1,Playoffs,3.0,0.3,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2260,Solomon Hill,offscreen,1,Playoffs,7.0,0.1,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2261,Spencer Hawes,offscreen,1,Playoffs,5.0,0.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2262,Zaza Pachulia,offscreen,1,Playoffs,5.0,0.2,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2263,Tyler Zeller,offscreen,1,Playoffs,3.0,0.3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2264,Lance Stephenson,offscreen,1,Playoffs,4.0,0.5,4.1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2265,Zach Randolph,offscreen,1,Playoffs,4.0,0.5,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2266,Jeremy Lamb,offscreen,1,Playoffs,3.0,0.7,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2267,Thabo Sefolosha,offscreen,1,Playoffs,10.0,0.2,3.2,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
2268,Dwight Powell,offscreen,1,Playoffs,4.0,0.8,12.0,0.0,0.0,0.0,33.3,0.0,33.3,0.0,0.0
2269,Markelle Fultz,offscreen,1,Playoffs,5.0,0.2,1.3,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2270,James Ennis III,offscreen,1,Playoffs,5.0,0.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2271,Andre Roberson,offscreen,1,Playoffs,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2272,Mario Hezonja,offscreen,1,Playoffs,6.0,0.2,3.1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2273,Tim Duncan,offscreen,1,Playoffs,10.0,0.1,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2274,Rodions Kurucs,offscreen,1,Playoffs,4.0,0.3,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
